Company,Specific Bean Origin,REF,Review,Cocoa Percent,Company Location,Rating,Bean Type,Broad Bean Origin
Finca,Puerto Rico,1283,2014,65%,U.S.A.,2.25, ,Puerto Rico
Amazona,"LamasdelChanka, San Martin, Oro Verde coop",1145,2013,72%,Peru,3.25, ,Peru
Dick Taylor,Bolivia,895,2012,75%,U.S.A.,2.75, ,Bolivia
Scharffen Berger,Cuyagua,135,2007,75%,U.S.A.,3.75, ,Venezuela
Love Bar,Nicaragua,1502,2015,75%,U.S.A.,2.0, ,Nicaragua
Woodblock,"Camino Verde P., Balao, Guayas",1042,2013,70%,U.S.A.,3.25, ,Ecuador
Zotter,Santo Domingo,879,2012,70%,Austria,3.75, ,Dominican Republic
Ranger,"Chulucanas, Batch 1",1562,2015,80%,U.S.A.,3.25, ,Peru
Sirene,"Lachua w/ maple sugar, batch 5",1614,2015,73%,Canada,3.25, ,Guatemala
Caoni (Tulicorp),Los Rios,269,2008,55%,Ecuador,3.25,Forastero (Arriba),Ecuador
Carlotta Chocolat,Arauca,1884,2016,65%,Colombia,3.0,Trinitario,Colombia
Arete,Phantom,1924,2016,70%,U.S.A.,4.0,Forastero (Nacional),Peru
hexx,Peru,1550,2015,70%,U.S.A.,3.25, ,Peru
Bonnat,Cuba,629,2011,75%,France,3.5,Trinitario,Cuba
To'ak (Ecuatoriana),Manabi,1418,2014,81%,Ecuador,3.25,Forastero (Nacional),Ecuador
Pralus,Fortissima,93,2006,80%,France,4.0,"Criollo, Trinitario",Ecuador
Askinosie,Xoconusco,141,2007,75%,U.S.A.,2.5,Trinitario,Mexico
Park 75,South America,1363,2014,65%,U.S.A.,3.5, ,South America
Hogarth,Akesson's Estate,1712,2016,70%,New Zealand,2.75,Trinitario,Madagascar
Fruition,Signature Blend,753,2011,66%,U.S.A.,3.25,Trinitario,Costa Rica
Artisan du Chocolat,Peru,363,2009,75%,U.K.,3.0,Criollo,Peru
Isidro,Peru,1279,2014,72%,U.S.A.,2.25, ,Peru
Taza,"Dark, Stone Ground",180,2007,70%,U.S.A.,3.0, ,Dominican Republic
Bonnat,"Los Colorados, Santo Domingo, Equateur",1418,2014,75%,France,3.25, ,Dominican Republic
Violet Sky,Moho River Valley,1458,2015,77%,U.S.A.,3.0,"Criollo, Trinitario",Belize
Solstice,Wasatch,1161,2013,70%,U.S.A.,3.5,Blend, 
Hotel Chocolat (Coppeneur),"Island Growers, 120hr c.",623,2011,65%,U.K.,3.0,Trinitario,St. Lucia
Escazu,Guapiles,414,2009,65%,U.S.A.,2.0, ,Costa Rica
Letterpress,Kokoa Kamili,1566,2015,70%,U.S.A.,3.5, ,Tanzania
Mast Brothers,"La Red de Guanconejo, N. Highlands coop",777,2011,74%,U.S.A.,3.75, ,Dominican Republic
Zotter,Huiwani Coop,879,2012,75%,Austria,3.0,"Criollo, Trinitario",Papua New Guinea
Valrhona,Araguani,117,2007,72%,France,3.0,Blend,"Venezuela, Carribean"
Fresco,"Jamaica, #206, DR, LC",370,2009,70%,U.S.A.,3.0,Trinitario,Jamaica
Rogue,Trinidad,213,2008,70%,U.S.A.,3.0,Trinitario,Trinidad
twenty-four blackbirds,Palos Blancos,1026,2013,75%,U.S.A.,2.5, ,Bolivia
Artisan du Chocolat,Madagascar,363,2009,80%,U.K.,3.0,"Criollo, Trinitario",Madagascar
Marana,Cusco,1884,2016,70%,Peru,2.75, ,Peru
Arete,Nacional,1534,2015,68%,U.S.A.,3.5,Forastero (Nacional),Peru
Fresco,"Conacado, #212, LR, SC",642,2011,72%,U.S.A.,3.5, ,Dominican Republic
Zak's,"Madagascar, Batch 2",1578,2015,70%,U.S.A.,3.25,Trinitario,Madagascar
